system:index,BUI,Class,NDBI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,.geo
1_1_1_63_0,-0.36108497,0,-0.4224524,0.13034315,0.031055,0.041724999999999984,0.061470000000000025,0.05467749999999999,0.0710675,0.021182499999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_64_0,-0.3139011,0,-0.21301644,-0.07070757,0.035784999999999983,0.04279749999999999,0.05904999999999999,0.054759999999999975,0.0475275,0.023629999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0_0,0.4218395,0,-0.34201753,0.72975755,0.040514999999999995,0.04587749999999999,0.079565,0.062350000000000017,0.3990875,0.10346250000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_0,0.3922484,0,-0.33988327,0.69707656,0.04002,0.046454999999999996,0.07893250000000002,0.06551249999999997,0.3670225,0.10205999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2_0,0.3977376,0,-0.3314412,0.6926082,0.03881000000000001,0.046042499999999986,0.08132499999999998,0.0682625,0.37587750000000003,0.10483749999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3_0,0.39391106,0,-0.2988796,0.6755826,0.03787499999999999,0.04486000000000001,0.08105000000000001,0.06685999999999998,0.34532500000000005,0.10189500000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4_0,0.38984078,0,-0.31716228,0.6920546,0.035509999999999986,0.042082499999999995,0.07549499999999998,0.06036999999999998,0.3317125,0.09383750000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5_0,0.37891656,0,-0.32932404,0.6904445,0.03394249999999999,0.04183500000000001,0.07478000000000001,0.06025999999999998,0.32907250000000005,0.09174749999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_6_0,0.37470612,0,-0.3325489,0.6868304,0.0343,0.04224749999999999,0.07546750000000002,0.06149749999999998,0.33124499999999996,0.09216000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_7_0,0.3732274,0,-0.34495878,0.6881825,0.034217499999999984,0.041614999999999985,0.07513750000000002,0.0624325,0.33801,0.0930125,"{""type"":""MultiPoint"",""coordinates"":[]}"
